,episodes,total_waiting_time,reward
0,0,11273,-16.125
1,1,4137,-4.230769230769231
2,2,3517,-6.222222222222222
3,3,4218,-9.090909090909092
4,4,3200,-13.222222222222221
5,5,3381,2.0
6,6,4078,-10.666666666666666
7,7,2919,14.8
8,8,3708,-1.4444444444444444
9,9,3440,3.1818181818181817
10,10,3477,3.5
11,11,3503,4.133333333333334
12,12,3822,0.8333333333333334
13,13,4147,12.5
14,14,2972,6.7
15,15,3927,17.333333333333332
16,16,3374,17.333333333333332
17,17,2767,14.363636363636363
18,18,3956,21.75
19,19,2777,14.272727272727273
20,20,3996,6.083333333333333
21,21,3916,18.571428571428573
22,22,3996,6.083333333333333
23,23,3534,11.5
24,24,3762,6.545454545454546
25,25,3772,10.727272727272727
26,26,3553,11.0
27,27,3850,11.444444444444445
28,28,5578,2.130434782608696
29,29,2954,26.0
30,30,3813,11.777777777777779
31,31,3815,3.6923076923076925
32,32,3364,13.307692307692308
33,33,3708,7.0
34,34,3433,11.0
35,35,3682,12.75
36,36,3927,17.333333333333332
37,37,3899,15.0
38,38,2954,25.571428571428573
39,39,3494,23.0
40,40,3460,24.333333333333332
41,41,3504,18.727272727272727
42,42,3460,27.0
43,43,3460,27.0
44,44,3927,17.333333333333332
45,45,3460,27.0
46,46,3545,25.857142857142858
47,47,3460,27.0
48,48,2973,14.555555555555555
49,49,4171,12.727272727272727
50,50,3545,25.857142857142858
51,51,3460,25.375
52,52,3460,26.5
53,53,3077,22.0
54,54,3460,25.375
55,55,3456,12.0
56,56,3439,15.272727272727273
57,57,3460,24.333333333333332
58,58,3884,10.571428571428571
59,59,2954,25.571428571428573
60,60,3439,15.272727272727273
61,61,3014,16.636363636363637
62,62,3460,25.375
63,63,3460,24.333333333333332
64,64,3196,9.333333333333334
65,65,3986,6.909090909090909
66,66,3461,12.384615384615385
67,67,3166,15.727272727272727
68,68,3281,14.0
69,69,2954,26.0
70,70,3273,12.642857142857142
71,71,3460,24.333333333333332
72,72,3166,15.727272727272727
73,73,3425,8.76923076923077
74,74,3491,18.666666666666668
75,75,3488,24.125
76,76,3927,17.666666666666668
77,77,2935,17.3
78,78,3584,13.555555555555555
79,79,2918,14.75
80,80,3020,16.416666666666668
81,81,3460,24.333333333333332
82,82,3460,24.333333333333332
83,83,3460,24.333333333333332
84,84,3460,24.333333333333332
85,85,3460,24.333333333333332
86,86,2995,11.6
87,87,3020,16.416666666666668
88,88,3535,20.0
89,89,2918,14.666666666666666
90,90,2935,17.3
91,91,4038,11.583333333333334
92,92,3651,16.0
93,93,3460,24.333333333333332
94,94,3077,22.22222222222222
95,95,3027,15.153846153846153
96,96,3460,24.333333333333332
97,97,3217,22.125
98,98,2790,13.166666666666666
99,99,3436,10.76923076923077
