,episodes,total_waiting_time,reward
0,0,3278,0.6
1,1,3238,10.125
2,2,2641,4.857142857142857
3,3,2641,4.857142857142857
4,4,4011,0.5555555555555556
5,5,2571,10.1
6,6,3508,12.4
7,7,2612,9.9
8,8,2739,6.5
9,9,3548,2.0
10,10,4370,5.0
11,11,3105,11.272727272727273
12,12,3383,8.5
13,13,2372,12.88888888888889
14,14,3183,10.444444444444445
15,15,2995,7.928571428571429
16,16,2874,12.1
17,17,3113,11.727272727272727
18,18,3328,4.583333333333333
19,19,2831,9.923076923076923
20,20,2972,11.222222222222221
21,21,2640,10.9
22,22,2868,11.454545454545455
23,23,2920,10.88888888888889
24,24,3662,5.2
25,25,3548,8.818181818181818
26,26,4369,6.583333333333333
27,27,2892,14.3
28,28,2937,7.888888888888889
29,29,3383,12.11111111111111
30,30,3466,7.0
31,31,3925,10.333333333333334
32,32,3595,11.0
33,33,3671,10.8
34,34,3861,6.066666666666666
35,35,3480,14.3
36,36,3334,13.1
37,37,3112,14.4
38,38,3480,13.5
39,39,2841,13.777777777777779
40,40,3922,6.666666666666667
41,41,4010,3.608695652173913
42,42,2254,14.2
43,43,2576,13.25
44,44,3147,13.777777777777779
45,45,2792,14.444444444444445
46,46,3162,11.5
47,47,3147,13.777777777777779
48,48,3093,14.2
49,49,3613,14.9
50,50,3416,7.777777777777778
51,51,3238,6.333333333333333
52,52,3238,6.333333333333333
53,53,3099,11.0
54,54,3428,7.6
55,55,3238,6.333333333333333
56,56,3426,4.5
57,57,2994,8.7
58,58,3636,10.3
59,59,3487,6.166666666666667
60,60,3061,7.5625
61,61,3518,14.090909090909092
62,62,4469,8.0
63,63,2944,7.636363636363637
64,64,3004,11.636363636363637
65,65,3162,11.5
66,66,3346,7.7272727272727275
67,67,4520,4.5
68,68,2477,11.416666666666666
69,69,3604,5.7
70,70,3089,6.2
71,71,4163,9.5
72,72,3416,7.777777777777778
73,73,3388,8.6
74,74,3371,11.333333333333334
75,75,2593,7.0
76,76,3416,8.0
77,77,2704,13.25
78,78,2704,9.11111111111111
79,79,3388,9.555555555555555
80,80,2913,18.333333333333332
81,81,3416,6.583333333333333
82,82,3092,11.666666666666666
83,83,2679,7.363636363636363
84,84,2809,9.5
85,85,2643,13.125
86,86,2414,6.2
87,87,2414,12.75
88,88,3768,15.88888888888889
89,89,2360,7.222222222222222
90,90,2171,6.2727272727272725
91,91,3234,11.375
92,92,2571,11.777777777777779
93,93,3061,7.5625
94,94,2643,13.125
95,95,2643,12.11111111111111
96,96,2761,16.77777777777778
97,97,2643,13.125
98,98,2671,7.833333333333333
99,99,3020,13.0
