,episodes,total_waiting_time,reward
0,0,3809,3.8125
1,1,3178,3.473684210526316
2,2,2787,3.7222222222222223
3,3,3554,3.466666666666667
4,4,2825,3.409090909090909
5,5,3330,-1.8125
6,6,5247,-2.727272727272727
7,7,5691,-4.391304347826087
8,8,7266,-11.48
9,9,6109,-6.45945945945946
10,10,10030,-14.545454545454545
11,11,9120,-13.475
12,12,9520,-14.944444444444445
13,13,8622,-14.416666666666666
14,14,7238,-10.90625
15,15,9089,-15.128205128205128
16,16,8948,-14.314285714285715
17,17,10144,-18.705882352941178
18,18,4148,-1.9166666666666667
19,19,6324,-11.0
20,20,10120,-14.595238095238095
21,21,6480,-9.75
22,22,9959,-16.512820512820515
23,23,7933,-11.31578947368421
24,24,6204,-9.969696969696969
25,25,9467,-14.777777777777779
26,26,10598,-16.365853658536587
27,27,7839,-10.947368421052632
28,28,10960,-17.365853658536587
29,29,9480,-13.372093023255815
30,30,11227,-17.61904761904762
31,31,11347,-17.88095238095238
32,32,11160,-17.023255813953487
33,33,11816,-16.244897959183675
34,34,10574,-13.9
35,35,10657,-12.98076923076923
36,36,10187,-11.241379310344827
37,37,10616,-11.583333333333334
38,38,10616,-11.583333333333334
39,39,10616,-11.583333333333334
40,40,10616,-11.583333333333334
41,41,10616,-11.583333333333334
42,42,10616,-11.583333333333334
43,43,10616,-11.583333333333334
44,44,10616,-11.583333333333334
45,45,10616,-11.583333333333334
46,46,10616,-11.583333333333334
47,47,10616,-11.583333333333334
48,48,10616,-11.583333333333334
49,49,10616,-11.583333333333334
50,50,10616,-11.583333333333334
51,51,10616,-11.583333333333334
52,52,10616,-11.583333333333334
53,53,10616,-11.583333333333334
54,54,10616,-11.583333333333334
55,55,10616,-11.583333333333334
56,56,10616,-11.583333333333334
57,57,10616,-11.583333333333334
58,58,10616,-11.583333333333334
59,59,10616,-11.583333333333334
60,60,10616,-11.583333333333334
61,61,10616,-11.583333333333334
62,62,10616,-11.583333333333334
63,63,10616,-11.583333333333334
64,64,10616,-11.583333333333334
65,65,10616,-11.583333333333334
66,66,10616,-11.583333333333334
67,67,10616,-11.583333333333334
68,68,10616,-11.583333333333334
69,69,10616,-11.583333333333334
70,70,10616,-11.583333333333334
71,71,10616,-11.583333333333334
72,72,10616,-11.583333333333334
73,73,10616,-11.583333333333334
74,74,10616,-11.583333333333334
75,75,10616,-11.583333333333334
76,76,10616,-11.583333333333334
77,77,10616,-11.583333333333334
78,78,10616,-11.583333333333334
79,79,10616,-11.583333333333334
80,80,10616,-11.583333333333334
81,81,10616,-11.583333333333334
82,82,10616,-11.583333333333334
83,83,10616,-11.583333333333334
84,84,10616,-11.583333333333334
85,85,10616,-11.583333333333334
86,86,10616,-11.583333333333334
87,87,10616,-11.583333333333334
88,88,10616,-11.583333333333334
89,89,10616,-11.583333333333334
90,90,10616,-11.583333333333334
91,91,10616,-11.583333333333334
92,92,10616,-11.583333333333334
93,93,10616,-11.583333333333334
94,94,10616,-11.583333333333334
95,95,10616,-11.583333333333334
96,96,10616,-11.583333333333334
97,97,10616,-11.583333333333334
98,98,10616,-11.583333333333334
99,99,10616,-11.583333333333334
